Aspermyra;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;1108 Sandnes
Aspneset;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;1825 Grane
Atna;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;3423 Stor-Elvdal
Augland;Godkjent;01/07/1991;Norsk;Tettsted;Statens kartverk;4204 Kristiansand
Aulifeltet;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;3034 Nes
Aurdal;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;3451 Nord-Aurdal
Aure;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;1576 Aure
Aure;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;1528 Sykkylven
Aurlandsvangen;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;4641 Aurland
Aurskog;Godkjent;01/07/1991;Norsk;Tettsted;Statens kartverk;3026 Aurskog-Høland
Aursmoen;Godkjent;01/07/1991;Norsk;Tettsted;Statens kartverk;3026 Aurskog-Høland
Austbø;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;1103 Stavanger
Austra Mosterhamn;Godkjent;01/07/1991;Norsk;Tettsted;Statens kartverk;4613 Bømlo
Austrheim;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Statens kartverk;4632 Austrheim
Austrått;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;1108 Sandnes
Avaldsnes;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;1149 Karmøy
Ávanuorri;Godkjent;01/07/1991;Nordsamisk;Tettsted;Kommune;5434 Måsøy
Bagn;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;3449 Sør-Aurdal
Bakkasund;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;4625 Austevoll
Bakklandet;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;5001 Trondheim
Bálák;Godkjent;01/07/1991;Nordsamisk;Tettsted;Kommune;1806 Narvik
Balestrand;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;4640 Sogndal
Ballangen;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;1806 Narvik
Ballstad;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;1860 Vestvågøy
Bangsund;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;5007 Namsos - Nåavmesjenjaelmie
Bardufoss;Godkjent;01/07/1991;Norsk;By;Kommune;5418 Målselv
Barkåker;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Statens kartverk;3803 Tønsberg
Batnfjordsøra;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;1557 Gjemnes
Bausplass;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Statens kartverk;4203 Arendal
Bede;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;3003 Sarpsborg
Begby;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;3004 Fredrikstad
Beitostølen;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;3453 Øystre Slidre
